date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,BEAUTY,2.0,3509.0,97.65,0,0.0,3,1,2013,0,1,1.0,6.428571428571429,6.214285714285714,7.333333333333333
2013-02-01,BEAUTY,6.0,4064.0,97.46,0,0.0,4,2,2013,0,0,8.0,6.142857142857143,6.428571428571429,7.3
2013-02-02,BEAUTY,15.0,5166.0,97.46,0,0.0,5,2,2013,1,0,14.0,6.285714285714286,7.142857142857143,7.366666666666666
2013-02-03,BEAUTY,15.0,4736.0,97.46,0,0.0,6,2,2013,1,0,6.0,7.571428571428571,7.071428571428571,7.666666666666667
2013-02-04,BEAUTY,6.0,3459.0,96.21,0,0.0,0,2,2013,0,0,6.0,7.571428571428571,6.785714285714286,7.433333333333334
2013-02-05,BEAUTY,3.0,3568.0,96.68,0,0.0,1,2,2013,0,0,5.0,7.285714285714286,6.785714285714286,6.933333333333334
2013-02-06,BEAUTY,3.0,3941.0,96.44,0,0.0,2,2,2013,0,0,4.0,7.142857142857143,6.714285714285714,6.9
2013-02-07,BEAUTY,1.0,3678.0,95.84,0,0.0,3,2,2013,0,0,2.0,7.0,6.714285714285714,6.733333333333333
2013-02-08,BEAUTY,5.0,4006.0,95.71,0,0.0,4,2,2013,0,0,6.0,6.857142857142857,6.5,6.8
2013-02-09,BEAUTY,11.0,4133.0,95.71,0,0.0,5,2,2013,1,0,15.0,6.285714285714286,6.285714285714286,6.9
2013-02-10,BEAUTY,3.0,3135.0,95.71,0,0.0,6,2,2013,1,0,15.0,4.571428571428571,6.071428571428571,6.8
2013-02-11,BEAUTY,5.0,3243.0,97.01,0,1.0,0,2,2013,0,0,6.0,4.428571428571429,6.0,6.7
2013-02-12,BEAUTY,6.0,3904.0,97.48,0,1.0,1,2,2013,0,0,3.0,4.857142857142857,6.071428571428571,6.166666666666667
2013-02-13,BEAUTY,5.0,3860.0,97.03,0,0.0,2,2,2013,0,0,3.0,5.142857142857143,6.142857142857143,6.233333333333333
2013-02-14,BEAUTY,5.0,4043.0,97.3,0,0.0,3,2,2013,0,0,1.0,5.714285714285714,6.357142857142857,6.3
2013-02-15,BEAUTY,8.0,3605.0,95.95,0,0.0,4,2,2013,0,1,5.0,6.142857142857143,6.5,6.3
2013-02-16,BEAUTY,7.0,4770.0,95.95,0,0.0,5,2,2013,1,0,11.0,5.571428571428571,5.928571428571429,6.366666666666666
2013-02-17,BEAUTY,6.0,3936.0,95.95,0,0.0,6,2,2013,1,0,3.0,6.0,5.285714285714286,6.466666666666667
2013-02-18,BEAUTY,2.0,3586.0,95.95,0,0.0,0,2,2013,0,0,5.0,5.571428571428571,5.0,6.366666666666666
2013-02-19,BEAUTY,4.0,3228.0,96.69,0,0.0,1,2,2013,0,0,6.0,5.285714285714286,5.071428571428571,5.966666666666667
2013-02-20,BEAUTY,4.0,3800.0,94.92,0,0.0,2,2,2013,0,0,5.0,5.142857142857143,5.142857142857143,5.766666666666667
2013-02-21,BEAUTY,5.0,3282.0,92.79,0,0.0,3,2,2013,0,0,5.0,5.142857142857143,5.428571428571429,5.833333333333333
2013-02-22,BEAUTY,5.0,3638.0,93.12,0,0.0,4,2,2013,0,0,8.0,4.714285714285714,5.428571428571429,5.866666666666666
2013-02-23,BEAUTY,6.0,4461.0,93.12,0,0.0,5,2,2013,1,0,7.0,4.571428571428571,5.071428571428571,6.033333333333333
2013-02-24,BEAUTY,15.0,4517.0,93.12,0,0.0,6,2,2013,1,0,6.0,5.857142857142857,5.928571428571429,6.266666666666667
2013-02-25,BEAUTY,7.0,3515.0,92.74,0,0.0,0,2,2013,0,0,2.0,6.571428571428571,6.071428571428571,6.033333333333333
2013-02-26,BEAUTY,4.0,3310.0,92.63,0,0.0,1,2,2013,0,0,4.0,6.571428571428571,5.928571428571429,5.966666666666667
2013-02-27,BEAUTY,4.0,3595.0,92.84,0,0.0,2,2,2013,0,0,4.0,6.571428571428571,5.857142857142857,5.9
2013-02-28,BEAUTY,7.0,3426.0,92.03,0,0.0,3,2,2013,0,1,5.0,6.857142857142857,6.0,5.966666666666667
2013-03-01,BEAUTY,6.0,4075.0,90.71,0,0.0,4,3,2013,0,0,5.0,7.0,5.857142857142857,6.033333333333333
2013-03-02,BEAUTY,14.0,4891.0,90.71,0,1.0,5,3,2013,1,0,6.0,8.142857142857142,6.357142857142857,6.433333333333334
2013-03-03,BEAUTY,11.0,5065.0,90.71,0,0.0,6,3,2013,1,0,15.0,7.571428571428571,6.714285714285714,6.6
2013-03-04,BEAUTY,2.0,3823.0,90.13,0,0.0,0,3,2013,0,0,7.0,6.857142857142857,6.714285714285714,6.166666666666667
2013-03-05,BEAUTY,1.0,3582.0,90.88,0,0.0,1,3,2013,0,0,4.0,6.428571428571429,6.5,5.7
2013-03-06,BEAUTY,4.0,4105.0,90.47,0,0.0,2,3,2013,0,0,4.0,6.428571428571429,6.5,5.633333333333334
2013-03-07,BEAUTY,3.0,3551.0,91.53,0,0.0,3,3,2013,0,0,7.0,5.857142857142857,6.357142857142857,5.633333333333334
