date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,BEVERAGES,2848.0,3509.0,97.65,0,0.0,3,1,2013,0,1,2650.0,3951.714285714286,4261.142857142857,4490.133333333333
2013-02-01,BEVERAGES,4029.0,4064.0,97.46,0,0.0,4,2,2013,0,0,3437.0,4036.285714285714,4282.0,4442.233333333334
2013-02-02,BEVERAGES,7039.0,5166.0,97.46,0,0.0,5,2,2013,1,0,6092.0,4171.571428571428,4304.928571428572,4552.933333333333
2013-02-03,BEVERAGES,6336.0,4736.0,97.46,0,0.0,6,2,2013,1,0,6016.0,4217.285714285715,4194.5,4627.066666666667
2013-02-04,BEVERAGES,3214.0,3459.0,96.21,0,0.0,0,2,2013,0,0,2944.0,4255.857142857143,4120.071428571428,4518.933333333333
2013-02-05,BEVERAGES,2843.0,3568.0,96.68,0,0.0,1,2,2013,0,0,2840.0,4256.285714285715,4104.285714285715,4349.066666666667
2013-02-06,BEVERAGES,3956.0,3941.0,96.44,0,0.0,2,2,2013,0,0,3485.0,4323.571428571428,4123.5,4335.166666666667
2013-02-07,BEVERAGES,3710.0,3678.0,95.84,0,0.0,3,2,2013,0,0,2848.0,4446.714285714285,4199.214285714285,4335.4
2013-02-08,BEVERAGES,3848.0,4006.0,95.71,0,0.0,4,2,2013,0,0,4029.0,4420.857142857143,4228.571428571428,4326.6
2013-02-09,BEVERAGES,4702.0,4133.0,95.71,0,0.0,5,2,2013,1,0,7039.0,4087.0,4129.285714285715,4369.633333333333
2013-02-10,BEVERAGES,3191.0,3135.0,95.71,0,0.0,6,2,2013,1,0,6336.0,3637.714285714286,3927.5,4333.466666666666
2013-02-11,BEVERAGES,3362.0,3243.0,97.01,0,1.0,0,2,2013,0,0,3214.0,3658.8571428571427,3957.3571428571427,4265.1
2013-02-12,BEVERAGES,4329.0,3904.0,97.48,0,1.0,1,2,2013,0,0,2843.0,3871.1428571428573,4063.714285714286,4173.466666666666
2013-02-13,BEVERAGES,3221.0,3860.0,97.03,0,0.0,2,2,2013,0,0,3956.0,3766.1428571428573,4044.8571428571427,4148.166666666667
2013-02-14,BEVERAGES,2760.0,4043.0,97.3,0,0.0,3,2,2013,0,0,3710.0,3630.4285714285716,4038.5714285714284,4117.966666666666
2013-02-15,BEVERAGES,3647.0,3605.0,95.95,0,0.0,4,2,2013,0,1,3848.0,3601.714285714286,4011.285714285714,4093.6666666666665
2013-02-16,BEVERAGES,7022.0,4770.0,95.95,0,0.0,5,2,2013,1,0,4702.0,3933.1428571428573,4010.0714285714284,4228.833333333333
2013-02-17,BEVERAGES,4944.0,3936.0,95.95,0,0.0,6,2,2013,1,0,3191.0,4183.571428571428,3910.6428571428573,4269.066666666667
2013-02-18,BEVERAGES,3800.0,3586.0,95.95,0,0.0,0,2,2013,0,0,3362.0,4246.142857142857,3952.5,4171.8
2013-02-19,BEVERAGES,2553.0,3228.0,96.69,0,0.0,1,2,2013,0,0,4329.0,3992.4285714285716,3931.785714285714,3994.1666666666665
2013-02-20,BEVERAGES,3707.0,3800.0,94.92,0,0.0,2,2,2013,0,0,3221.0,4061.8571428571427,3914.0,3975.866666666667
2013-02-21,BEVERAGES,2999.0,3282.0,92.79,0,0.0,3,2,2013,0,0,2760.0,4096.0,3863.214285714286,3973.7
2013-02-22,BEVERAGES,3355.0,3638.0,93.12,0,0.0,4,2,2013,0,0,3647.0,4054.285714285714,3828.0,3962.633333333333
2013-02-23,BEVERAGES,5384.0,4461.0,93.12,0,0.0,5,2,2013,1,0,7022.0,3820.285714285714,3876.714285714286,4053.766666666667
2013-02-24,BEVERAGES,6604.0,4517.0,93.12,0,0.0,6,2,2013,1,0,4944.0,4057.4285714285716,4120.5,4159.333333333333
2013-02-25,BEVERAGES,3461.0,3515.0,92.74,0,0.0,0,2,2013,0,0,3800.0,4009.0,4127.571428571428,4071.633333333333
2013-02-26,BEVERAGES,3119.0,3310.0,92.63,0,0.0,1,2,2013,0,0,2553.0,4089.8571428571427,4041.1428571428573,3975.0666666666666
2013-02-27,BEVERAGES,2982.0,3595.0,92.84,0,0.0,2,2,2013,0,0,3707.0,3986.285714285714,4024.0714285714284,3976.3333333333335
2013-02-28,BEVERAGES,3132.0,3426.0,92.03,0,0.0,3,2,2013,0,1,2999.0,4005.285714285714,4050.6428571428573,3986.0666666666666
2013-03-01,BEVERAGES,3818.0,4075.0,90.71,0,0.0,4,3,2013,0,0,3355.0,4071.4285714285716,4062.8571428571427,3997.1666666666665
2013-03-02,BEVERAGES,6824.0,4891.0,90.71,0,1.0,5,3,2013,1,0,5384.0,4277.142857142857,4048.714285714286,4129.7
2013-03-03,BEVERAGES,8198.0,5065.0,90.71,0,0.0,6,3,2013,1,0,6604.0,4504.857142857143,4281.142857142857,4268.666666666667
2013-03-04,BEVERAGES,4316.0,3823.0,90.13,0,0.0,0,3,2013,0,0,3461.0,4627.0,4318.0,4177.9
2013-03-05,BEVERAGES,7375.0,3582.0,90.88,0,0.0,1,3,2013,0,0,3119.0,5235.0,4662.428571428572,4212.533333333334
2013-03-06,BEVERAGES,4247.0,4105.0,90.47,0,0.0,2,3,2013,0,0,2982.0,5415.714285714285,4701.0,4246.966666666666
2013-03-07,BEVERAGES,3716.0,3551.0,91.53,0,0.0,3,3,2013,0,0,3132.0,5499.142857142857,4752.214285714285,4276.066666666667
2013-03-08,BEVERAGES,3253.0,3998.0,92.01,0,0.0,4,3,2013,0,0,3818.0,5418.428571428572,4744.928571428572,4252.633333333333
2013-03-09,BEVERAGES,6783.0,4846.0,92.01,0,0.0,5,3,2013,1,0,6824.0,5412.571428571428,4844.857142857143,4355.066666666667
2013-03-10,BEVERAGES,6696.0,4756.0,92.01,0,0.0,6,3,2013,1,0,8198.0,5198.0,4851.428571428572,4450.0
2013-03-11,BEVERAGES,3407.0,3626.0,92.07,0,0.0,0,3,2013,0,0,4316.0,5068.142857142857,4847.571428571428,4406.833333333333
2013-03-12,BEVERAGES,3089.0,3376.0,92.44,0,0.0,1,3,2013,0,0,7375.0,4455.857142857143,4845.428571428572,4403.433333333333
2013-03-13,BEVERAGES,3826.0,3799.0,92.47,0,0.0,2,3,2013,0,0,4247.0,4395.714285714285,4905.714285714285,4418.9
2013-03-14,BEVERAGES,2792.0,3276.0,93.03,0,0.0,3,3,2013,0,0,3716.0,4263.714285714285,4881.428571428572,4367.666666666667
2013-03-15,BEVERAGES,3764.0,3732.0,93.49,0,0.0,4,3,2013,0,1,3253.0,4336.714285714285,4877.571428571428,4385.766666666666
2013-03-16,BEVERAGES,6205.0,4786.0,93.49,0,0.0,5,3,2013,1,0,6783.0,4254.142857142857,4833.357142857143,4500.6
2013-03-17,BEVERAGES,6970.0,5037.0,93.49,0,0.0,6,3,2013,1,0,6696.0,4293.285714285715,4745.642857142857,4611.366666666667
2013-03-18,BEVERAGES,3382.0,3556.0,93.71,0,0.0,0,3,2013,0,0,3407.0,4289.714285714285,4678.928571428572,4490.033333333334
2013-03-19,BEVERAGES,3128.0,3431.0,92.44,0,0.0,1,3,2013,0,0,3089.0,4295.285714285715,4375.571428571428,4429.5
2013-03-20,BEVERAGES,3678.0,3806.0,93.21,0,0.0,2,3,2013,0,0,3826.0,4274.142857142857,4334.928571428572,4425.433333333333
2013-03-21,BEVERAGES,2543.0,3375.0,92.46,0,0.0,3,3,2013,0,0,2792.0,4238.571428571428,4251.142857142857,4425.1
2013-03-22,BEVERAGES,3647.0,3826.0,93.41,0,0.0,4,3,2013,0,0,3764.0,4221.857142857143,4279.285714285715,4423.1
2013-03-23,BEVERAGES,5750.0,4972.0,93.41,0,0.0,5,3,2013,1,0,6205.0,4156.857142857143,4205.5,4514.8
2013-03-24,BEVERAGES,5949.0,4485.0,93.41,0,0.0,6,3,2013,1,0,6970.0,4011.0,4152.142857142857,4601.266666666666
2013-03-25,BEVERAGES,3248.0,3533.0,94.55,0,0.0,0,3,2013,0,0,3382.0,3991.8571428571427,4140.785714285715,4530.066666666667
2013-03-26,BEVERAGES,2023.0,2756.0,95.99,0,0.0,1,3,2013,0,0,3128.0,3834.0,4064.6428571428573,4377.366666666667
2013-03-27,BEVERAGES,3433.0,4160.0,96.53,0,0.0,2,3,2013,0,0,3678.0,3799.0,4036.5714285714284,4376.433333333333
2013-03-28,BEVERAGES,3828.0,4090.0,97.24,0,0.0,3,3,2013,0,0,2543.0,3982.5714285714284,4110.571428571428,4400.066666666667
2013-03-29,BEVERAGES,4548.0,3905.0,97.24,0,0.0,4,3,2013,0,0,3647.0,4111.285714285715,4166.571428571428,4452.266666666666
2013-03-30,BEVERAGES,5451.0,4178.0,97.24,0,0.0,5,3,2013,1,0,5750.0,4068.5714285714284,4112.714285714285,4529.566666666667
2013-03-31,BEVERAGES,5514.0,4259.0,97.24,0,0.0,6,3,2013,1,1,5949.0,4006.4285714285716,4008.714285714286,4586.1
