date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,DAIRY,1078.0,3509.0,97.65,0,0.0,3,1,2013,0,1,992.0,1467.142857142857,1470.7857142857142,1531.1666666666667
2013-02-01,DAIRY,1768.0,4064.0,97.46,0,0.0,4,2,2013,0,0,1456.0,1511.7142857142858,1491.7857142857142,1520.0666666666666
2013-02-02,DAIRY,2265.0,5166.0,97.46,0,0.0,5,2,2013,1,0,1932.0,1559.2857142857142,1512.642857142857,1545.0333333333333
2013-02-03,DAIRY,2252.0,4736.0,97.46,0,0.0,6,2,2013,1,0,1967.0,1600.0,1525.2142857142858,1561.7333333333333
2013-02-04,DAIRY,1413.0,3459.0,96.21,0,0.0,0,2,2013,0,0,1182.0,1633.0,1536.857142857143,1537.8
2013-02-05,DAIRY,1266.0,3568.0,96.68,0,0.0,1,2,2013,0,0,1209.0,1641.142857142857,1543.0714285714287,1506.2666666666667
2013-02-06,DAIRY,1466.0,3941.0,96.44,0,0.0,2,2,2013,0,0,1446.0,1644.0,1549.4285714285713,1506.7666666666667
2013-02-07,DAIRY,1151.0,3678.0,95.84,0,0.0,3,2,2013,0,0,1078.0,1654.4285714285713,1560.7857142857142,1500.7
2013-02-08,DAIRY,1443.0,4006.0,95.71,0,0.0,4,2,2013,0,0,1768.0,1608.0,1559.857142857143,1497.2
2013-02-09,DAIRY,1762.0,4133.0,95.71,0,0.0,5,2,2013,1,0,2265.0,1536.142857142857,1547.7142857142858,1519.4
2013-02-10,DAIRY,1301.0,3135.0,95.71,0,0.0,6,2,2013,1,0,2252.0,1400.2857142857142,1500.142857142857,1516.5666666666666
2013-02-11,DAIRY,1335.0,3243.0,97.01,0,1.0,0,2,2013,0,0,1413.0,1389.142857142857,1511.0714285714287,1501.1
2013-02-12,DAIRY,1619.0,3904.0,97.48,0,1.0,1,2,2013,0,0,1266.0,1439.5714285714287,1540.357142857143,1491.1
2013-02-13,DAIRY,1531.0,3860.0,97.03,0,0.0,2,2,2013,0,0,1466.0,1448.857142857143,1546.4285714285713,1500.0666666666666
2013-02-14,DAIRY,1226.0,4043.0,97.3,0,0.0,3,2,2013,0,0,1151.0,1459.5714285714287,1557.0,1504.3666666666666
2013-02-15,DAIRY,1466.0,3605.0,95.95,0,0.0,4,2,2013,0,1,1443.0,1462.857142857143,1535.4285714285713,1498.3666666666666
2013-02-16,DAIRY,2382.0,4770.0,95.95,0,0.0,5,2,2013,1,0,1762.0,1551.4285714285713,1543.7857142857142,1541.2333333333333
2013-02-17,DAIRY,1883.0,3936.0,95.95,0,0.0,6,2,2013,1,0,1301.0,1634.5714285714287,1517.4285714285713,1554.8666666666666
2013-02-18,DAIRY,1464.0,3586.0,95.95,0,0.0,0,2,2013,0,0,1335.0,1653.0,1521.0714285714287,1537.9
