date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,GROCERY II,77.0,3509.0,97.65,0,0.0,3,1,2013,0,1,54.0,71.14285714285714,73.78571428571429,81.53333333333333
2013-02-01,GROCERY II,103.0,4064.0,97.46,0,0.0,4,2,2013,0,0,66.0,76.42857142857143,76.78571428571429,80.46666666666667
2013-02-02,GROCERY II,91.0,5166.0,97.46,0,0.0,5,2,2013,1,0,96.0,75.71428571428571,75.85714285714286,80.63333333333334
2013-02-03,GROCERY II,97.0,4736.0,97.46,0,0.0,6,2,2013,1,0,69.0,79.71428571428571,74.78571428571429,80.06666666666666
2013-02-04,GROCERY II,88.0,3459.0,96.21,0,0.0,0,2,2013,0,0,67.0,82.71428571428571,75.35714285714286,79.7
2013-02-05,GROCERY II,46.0,3568.0,96.68,0,0.0,1,2,2013,0,0,56.0,81.28571428571429,74.0,77.4
2013-02-06,GROCERY II,78.0,3941.0,96.44,0,0.0,2,2,2013,0,0,67.0,82.85714285714286,75.35714285714286,77.66666666666667
2013-02-07,GROCERY II,63.0,3678.0,95.84,0,0.0,3,2,2013,0,0,77.0,80.85714285714286,76.0,78.0
2013-02-08,GROCERY II,119.0,4006.0,95.71,0,0.0,4,2,2013,0,0,103.0,83.14285714285714,79.78571428571429,77.93333333333334
2013-02-09,GROCERY II,84.0,4133.0,95.71,0,0.0,5,2,2013,1,0,91.0,82.14285714285714,78.92857142857143,78.36666666666666
2013-02-10,GROCERY II,57.0,3135.0,95.71,0,0.0,6,2,2013,1,0,97.0,76.42857142857143,78.07142857142857,77.33333333333333
2013-02-11,GROCERY II,44.0,3243.0,97.01,0,1.0,0,2,2013,0,0,88.0,70.14285714285714,76.42857142857143,76.56666666666666
2013-02-12,GROCERY II,53.0,3904.0,97.48,0,1.0,1,2,2013,0,0,46.0,71.14285714285714,76.21428571428571,74.26666666666667
2013-02-13,GROCERY II,66.0,3860.0,97.03,0,0.0,2,2,2013,0,0,78.0,69.42857142857143,76.14285714285714,74.56666666666666
2013-02-14,GROCERY II,50.0,4043.0,97.3,0,0.0,3,2,2013,0,0,63.0,67.57142857142857,74.21428571428571,73.63333333333334
2013-02-15,GROCERY II,100.0,3605.0,95.95,0,0.0,4,2,2013,0,1,119.0,64.85714285714286,74.0,74.13333333333334
2013-02-16,GROCERY II,96.0,4770.0,95.95,0,0.0,5,2,2013,1,0,84.0,66.57142857142857,74.35714285714286,75.6
2013-02-17,GROCERY II,106.0,3936.0,95.95,0,0.0,6,2,2013,1,0,57.0,73.57142857142857,75.0,77.1
2013-02-18,GROCERY II,101.0,3586.0,95.95,0,0.0,0,2,2013,0,0,44.0,81.71428571428571,75.92857142857143,77.0
2013-02-19,GROCERY II,86.0,3228.0,96.69,0,0.0,1,2,2013,0,0,53.0,86.42857142857143,78.78571428571429,76.13333333333334
2013-02-20,GROCERY II,43.0,3800.0,94.92,0,0.0,2,2,2013,0,0,66.0,83.14285714285714,76.28571428571429,74.9
2013-02-21,GROCERY II,41.0,3282.0,92.79,0,0.0,3,2,2013,0,0,50.0,81.85714285714286,74.71428571428571,74.1
2013-02-22,GROCERY II,73.0,3638.0,93.12,0,0.0,4,2,2013,0,0,100.0,78.0,71.42857142857143,74.56666666666666
2013-02-23,GROCERY II,91.0,4461.0,93.12,0,0.0,5,2,2013,1,0,96.0,77.28571428571429,71.92857142857143,75.8
2013-02-24,GROCERY II,96.0,4517.0,93.12,0,0.0,6,2,2013,1,0,106.0,75.85714285714286,74.71428571428571,76.8
2013-02-25,GROCERY II,72.0,3515.0,92.74,0,0.0,0,2,2013,0,0,101.0,71.71428571428571,76.71428571428571,76.0
2013-02-26,GROCERY II,57.0,3310.0,92.63,0,0.0,1,2,2013,0,0,86.0,67.57142857142857,77.0,75.6
2013-02-27,GROCERY II,53.0,3595.0,92.84,0,0.0,2,2,2013,0,0,43.0,69.0,76.07142857142857,75.13333333333334
2013-02-28,GROCERY II,66.0,3426.0,92.03,0,0.0,3,2,2013,0,1,41.0,72.57142857142857,77.21428571428571,75.46666666666667
2013-03-01,GROCERY II,79.0,4075.0,90.71,0,0.0,4,3,2013,0,0,73.0,73.42857142857143,75.71428571428571,75.86666666666666
2013-03-02,GROCERY II,144.0,4891.0,90.71,0,1.0,5,3,2013,1,0,91.0,81.0,79.14285714285714,78.1
2013-03-03,GROCERY II,145.0,5065.0,90.71,0,0.0,6,3,2013,1,0,96.0,88.0,81.92857142857143,79.5
