date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,MEATS,678.899,3509.0,97.65,0,0.0,3,1,2013,0,1,557.246,903.3624285714285,928.8329285714286,998.6188333333333
2013-02-01,MEATS,1482.08,4064.0,97.46,0,0.0,4,2,2013,0,0,1330.549,925.0097142857142,923.089142857143,1012.2572666666667
2013-02-02,MEATS,1334.39,5166.0,97.46,0,0.0,5,2,2013,1,0,1093.905,959.3647142857143,932.3604285714285,1026.5347666666667
2013-02-03,MEATS,1329.518,4736.0,97.46,0,0.0,6,2,2013,1,0,1182.2259999999999,980.4064285714286,934.8612857142856,1017.0070666666667
2013-02-04,MEATS,844.287,3459.0,96.21,0,0.0,0,2,2013,0,0,662.027,1006.4435714285715,943.6709285714286,1001.6211000000001
2013-02-05,MEATS,821.791,3568.0,96.68,0,0.0,1,2,2013,0,0,684.105,1026.113,957.0,977.4146666666668
2013-02-06,MEATS,834.206,3941.0,96.44,0,0.0,2,2,2013,0,0,691.826,1046.453,966.2182142857143,971.7255
2013-02-07,MEATS,720.802,3678.0,95.84,0,0.0,3,2,2013,0,0,678.899,1052.439142857143,977.9007857142858,968.7387333333334
2013-02-08,MEATS,1207.382,4006.0,95.71,0,0.0,4,2,2013,0,0,1482.08,1013.1965714285715,969.103142857143,978.0921666666667
2013-02-09,MEATS,1047.169,4133.0,95.71,0,0.0,5,2,2013,1,0,1334.39,972.1650000000001,965.7648571428572,986.7999333333333
2013-02-10,MEATS,740.401,3135.0,95.71,0,0.0,6,2,2013,1,0,1329.518,888.0054285714286,934.2059285714286,962.504
2013-02-11,MEATS,795.347,3243.0,97.01,0,1.0,0,2,2013,0,0,844.287,881.014,943.7287857142857,950.4286666666667
2013-02-12,MEATS,832.624,3904.0,97.48,0,1.0,1,2,2013,0,0,821.791,882.5615714285714,954.3372857142857,935.1518666666667
2013-02-13,MEATS,711.523,3860.0,97.03,0,0.0,2,2,2013,0,0,834.206,865.0354285714285,955.7442142857144,934.5315333333333
2013-02-14,MEATS,849.372,4043.0,97.3,0,0.0,3,2,2013,0,0,720.802,883.4025714285715,967.9208571428571,940.4329666666666
2013-02-15,MEATS,1473.066,3605.0,95.95,0,0.0,4,2,2013,0,1,1207.382,921.3574285714285,967.277,960.0679
2013-02-16,MEATS,1350.946,4770.0,95.95,0,0.0,5,2,2013,1,0,1047.169,964.7541428571428,968.4595714285715,979.2855000000001
2013-02-17,MEATS,1050.317,3936.0,95.95,0,0.0,6,2,2013,1,0,740.401,1009.0278571428571,948.5166428571429,962.2129666666666
2013-02-18,MEATS,807.209,3586.0,95.95,0,0.0,0,2,2013,0,0,795.347,1010.7224285714285,945.8682142857143,948.9668666666665
2013-02-19,MEATS,645.102,3228.0,96.69,0,0.0,1,2,2013,0,0,832.624,983.9335714285714,933.2475714285714,927.3200666666668
2013-02-20,MEATS,968.015,3800.0,94.92,0,0.0,2,2,2013,0,0,711.523,1020.5752857142858,942.8053571428571,935.5555
2013-02-21,MEATS,630.249,3282.0,92.79,0,0.0,3,2,2013,0,0,849.372,989.2719999999999,936.3372857142857,935.391
2013-02-22,MEATS,1459.4180000000001,3638.0,93.12,0,0.0,4,2,2013,0,0,1473.066,987.3222857142856,954.3398571428571,960.5332333333333
2013-02-23,MEATS,1094.201,4461.0,93.12,0,0.0,5,2,2013,1,0,1350.946,950.6444285714286,957.6992857142857,978.4317333333333
