date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-04-15,PRODUCE,3.0,3499.0,88.75,0,0.0,0,4,2013,0,1,1.0,24.142857142857142,24.428571428571427,26.033333333333335
2013-04-16,PRODUCE,9.0,3496.0,88.73,0,0.0,1,4,2013,0,0,3.0,25.0,24.928571428571427,24.433333333333334
2013-04-17,PRODUCE,8.0,3954.0,86.65,0,0.0,2,4,2013,0,0,12.0,24.428571428571427,24.357142857142858,24.0
2013-04-18,PRODUCE,9.0,3316.0,87.83,0,0.0,3,4,2013,0,0,14.0,23.714285714285715,23.714285714285715,24.266666666666666
2013-04-19,PRODUCE,44.0,3558.0,88.04,0,0.0,4,4,2013,0,0,44.0,23.714285714285715,22.857142857142858,25.233333333333334
2013-04-20,PRODUCE,67.0,5052.0,88.04,0,0.0,5,4,2013,1,0,68.0,23.571428571428573,23.5,26.9
2013-04-21,PRODUCE,19.0,4905.0,88.04,0,1.0,6,4,2013,1,0,25.0,22.714285714285715,23.285714285714285,25.7
2013-04-22,PRODUCE,1.0,3531.0,88.81,0,0.0,0,4,2013,0,0,3.0,22.428571428571427,23.285714285714285,24.033333333333335
2013-04-23,PRODUCE,9.0,3432.0,89.21,0,0.0,1,4,2013,0,0,9.0,22.428571428571427,23.714285714285715,23.733333333333334
2013-04-24,PRODUCE,16.0,3950.0,91.07,0,0.0,2,4,2013,0,0,8.0,23.571428571428573,24.0,23.933333333333334
2013-04-25,PRODUCE,23.0,3429.0,93.27,0,0.0,3,4,2013,0,0,9.0,25.571428571428573,24.642857142857142,24.4
2013-04-26,PRODUCE,60.0,3872.0,92.63,0,0.0,4,4,2013,0,0,44.0,27.857142857142858,25.785714285714285,25.7
2013-04-27,PRODUCE,70.0,4763.0,92.63,0,0.0,5,4,2013,1,0,67.0,28.285714285714285,25.928571428571427,27.033333333333335
2013-04-28,PRODUCE,26.0,4799.0,92.63,0,0.0,6,4,2013,1,0,19.0,29.285714285714285,26.0,26.366666666666667
2013-04-29,PRODUCE,15.0,3415.0,94.09,0,1.0,0,4,2013,0,0,1.0,31.285714285714285,26.857142857142858,24.733333333333334
2013-04-30,PRODUCE,41.0,3632.0,93.22,0,0.0,1,4,2013,0,1,9.0,35.857142857142854,29.142857142857142,25.433333333333334
2013-05-01,PRODUCE,44.0,5053.0,90.74,0,1.0,2,5,2013,0,0,16.0,39.857142857142854,31.714285714285715,26.766666666666666
2013-05-02,PRODUCE,11.0,3504.0,93.7,0,0.0,3,5,2013,0,0,23.0,38.142857142857146,31.857142857142858,27.066666666666666
2013-05-03,PRODUCE,36.0,3766.0,95.25,0,0.0,4,5,2013,0,0,60.0,34.714285714285715,31.285714285714285,27.733333333333334
2013-05-04,PRODUCE,51.0,4962.0,95.25,0,0.0,5,5,2013,1,0,70.0,32.0,30.142857142857142,28.833333333333332
2013-05-05,PRODUCE,17.0,5021.0,95.25,0,0.0,6,5,2013,1,0,26.0,30.714285714285715,30.0,27.533333333333335
2013-05-06,PRODUCE,5.0,3643.0,95.8,0,0.0,0,5,2013,0,0,15.0,29.285714285714285,30.285714285714285,25.766666666666666
2013-05-07,PRODUCE,3.0,3347.0,95.28,0,0.0,1,5,2013,0,0,41.0,23.857142857142858,29.857142857142858,25.133333333333333
