date,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,13467.855,3509.0,97.65,0,0.0,3,1,2013,0,1,12230.95,19267.60585714286,21229.08135714286,22546.504633333334
2013-02-01,22294.816,4064.0,97.46,0,0.0,4,2,2013,0,0,18529.643,19805.48771428571,21447.384285714284,22286.492466666667
2013-02-02,32666.544,5166.0,97.46,0,0.0,5,2,2013,1,0,26769.391,20647.938142857143,21698.87285714286,22693.808699999998
2013-02-03,31751.366,4736.0,97.46,0,0.0,6,2,2013,1,0,28839.307,21063.94657142857,21688.41664285714,22992.3276
2013-02-04,17728.195,3459.0,96.21,0,0.0,0,2,2013,0,0,15423.466,21393.19357142857,21695.23285714286,22537.183833333333
2013-02-05,16512.019,3568.0,96.68,0,0.0,1,2,2013,0,0,14607.175,21665.314142857143,20402.231214285715,21885.272966666667
2013-02-06,20119.783,3941.0,96.44,0,0.0,2,2,2013,0,0,17236.404,22077.225428571426,20584.06528571429,21855.088099999997
2013-02-07,16506.634,3678.0,95.84,0,0.0,3,2,2013,0,0,13467.855,22511.336714285717,20889.471285714284,21272.200666666668
2013-02-08,18985.489,4006.0,95.71,0,0.0,4,2,2013,0,0,22294.816,22038.57571428572,20922.031714285713,21195.182233333333
2013-02-09,22806.965,4133.0,95.71,0,0.0,5,2,2013,1,0,32666.544,20630.06442857143,20639.001285714283,21437.9868
2013-02-10,16419.163,3135.0,95.71,0,0.0,6,2,2013,1,0,31751.366,18439.749714285714,19751.848142857143,21327.343066666668
2013-02-11,17130.39,3243.0,97.01,0,1.0,0,2,2013,0,0,17728.195,18354.349,19873.771285714287,21051.066800000004
2013-02-12,21745.158,3904.0,97.48,0,1.0,1,2,2013,0,0,16512.019,19101.940285714285,20383.627214285716,20738.260399999996
2013-02-13,18051.504,3860.0,97.03,0,0.0,2,2,2013,0,0,20119.783,18806.471857142857,20441.84864285714,20756.030133333337
2013-02-14,38885.718,4043.0,97.3,0,0.0,3,2,2013,0,0,16506.634,22003.483857142855,22257.410285714283,21526.830033333335
2013-02-15,19068.482,3605.0,95.95,0,0.0,4,2,2013,0,1,18985.489,22015.34,22026.957857142854,21429.283666666666
2013-02-16,32582.677,4770.0,95.95,0,0.0,5,2,2013,1,0,22806.965,23411.870285714285,22020.967357142858,22015.4014
2013-02-17,24503.894,3936.0,95.95,0,0.0,6,2,2013,1,0,16419.163,24566.831857142857,21503.290785714285,22190.912033333334
2013-02-18,19797.048,3586.0,95.95,0,0.0,0,2,2013,0,0,17130.39,24947.783,21651.066,21879.29016666667
2013-02-19,14658.543,3228.0,96.69,0,0.0,1,2,2013,0,0,21745.158,23935.409428571427,21518.674857142854,21304.649833333333
2013-02-20,19929.391,3800.0,94.92,0,0.0,2,2,2013,0,0,18051.504,24203.679,21505.07542857143,21381.20393333333
2013-02-21,13970.993,3282.0,92.79,0,0.0,3,2,2013,0,0,38885.718,20644.43257142857,21323.958214285718,20693.102299999995
2013-02-22,17469.76,3638.0,93.12,0,0.0,4,2,2013,0,0,19068.482,20416.04371428571,21215.691857142858,20689.6241
2013-02-23,26033.812,4461.0,93.12,0,0.0,5,2,2013,1,0,32582.677,19480.49157142857,21446.18092857143,21149.7195
2013-02-24,30505.363,4517.0,93.12,0,0.0,6,2,2013,1,0,24503.894,20337.844285714287,22452.33807142857,21548.91016666667
2013-02-25,19511.089,3515.0,92.74,0,0.0,0,2,2013,0,0,19797.048,20296.993,22622.388,21306.96676666667
2013-02-26,14784.476,3310.0,92.63,0,0.0,1,2,2013,0,0,14658.543,20314.983428571428,22125.196428571428,20838.472399999995
2013-02-27,16250.759,3595.0,92.84,0,0.0,2,2,2013,0,0,19929.391,19789.46457142857,21996.571785714284,20866.048833333338
2013-02-28,14857.52,3426.0,92.03,0,0.0,3,2,2013,0,1,13970.993,19916.111285714287,20280.27192857143,20874.393666666663
2013-03-01,22270.176,4075.0,90.71,0,0.0,4,3,2013,0,0,17469.76,20601.885000000002,20508.964357142857,21042.18606666667
2013-03-02,32798.856,4891.0,90.71,0,1.0,5,3,2013,1,0,26033.812,21568.31985714286,20524.405714285713,21686.552766666668
2013-03-03,38181.899,5065.0,90.71,0,0.0,6,3,2013,1,0,30505.363,22664.967857142856,21501.40607142857,22216.1222
2013-03-04,20911.8,3823.0,90.13,0,0.0,0,3,2013,0,0,19511.089,22865.069428571423,21581.03121428571,21824.2974
2013-03-05,21365.326,3582.0,90.88,0,0.0,1,3,2013,0,0,14784.476,23805.190857142854,22060.08714285714,21478.096066666665
2013-03-06,21711.109,4105.0,90.47,0,0.0,2,3,2013,0,0,16250.759,24585.240857142857,22187.352714285713,21610.859866666666
2013-03-07,15394.973,3551.0,91.53,0,0.0,3,3,2013,0,0,14857.52,24662.019857142855,22289.065571428568,21573.625
2013-03-08,26132.241,3998.0,92.01,0,0.0,4,3,2013,0,0,22270.176,25213.74342857143,22907.814214285718,21774.040266666667
2013-03-09,29951.635,4846.0,92.01,0,0.0,5,3,2013,1,0,32798.856,24806.997571428572,23187.658714285713,22222.206966666665
2013-03-10,30386.641,4756.0,92.01,0,0.0,6,3,2013,1,0,38181.899,23693.389285714282,23179.178571428572,22602.245366666666
2013-03-11,17089.015,3626.0,92.07,0,0.0,0,3,2013,0,0,20911.8,23147.277142857143,23006.173285714285,22411.647033333335
2013-03-12,15752.124,3376.0,92.44,0,0.0,1,3,2013,0,0,21365.326,22345.391142857145,23075.290999999997,22389.412399999997
2013-03-13,19609.154,3799.0,92.47,0,0.0,2,3,2013,0,0,21711.109,22045.111857142856,23315.176357142856,22472.037866666666
2013-03-14,13119.797,3276.0,93.03,0,0.0,3,3,2013,0,0,15394.973,21720.086714285717,23191.053285714286,22184.525833333333
2013-03-15,18609.6,3732.0,93.49,0,0.0,4,3,2013,0,1,26132.241,20645.423714285713,22929.58357142857,22203.12903333333
2013-03-16,30441.078,4786.0,93.49,0,0.0,5,3,2013,1,0,29951.635,20715.344142857142,22761.170857142857,21921.64103333333
2013-03-17,34892.567,5037.0,93.49,0,0.0,6,3,2013,1,0,30386.641,21359.047857142858,22526.21857142857,22449.110533333333
2013-03-18,18203.304,3556.0,93.71,0,0.0,0,3,2013,0,0,17089.015,21518.232,22332.754571428573,21969.7981
2013-03-19,15874.449,3431.0,92.44,0,0.0,1,3,2013,0,0,15752.124,21535.707,21940.549071428573,21682.149933333334
2013-03-20,19657.66,3806.0,93.21,0,0.0,2,3,2013,0,0,19609.154,21542.636428571426,21793.874142857145,21677.503666666667
2013-03-21,14880.334,3375.0,92.46,0,0.0,3,3,2013,0,0,13119.797,21794.141714285714,21757.114214285717,21684.896699999998
2013-03-22,18411.198,3826.0,93.41,0,0.0,4,3,2013,0,0,18609.6,21765.79857142857,21205.611142857142,21634.29026666667
2013-03-23,31889.787,4972.0,93.41,0,0.0,5,3,2013,1,0,30441.078,21972.757,21344.050571428572,22231.5834
2013-03-24,29504.925,4485.0,93.41,0,0.0,6,3,2013,1,0,34892.567,21203.09385714286,21281.07085714286,22632.755566666667
2013-03-25,17026.287,3533.0,94.55,0,0.0,0,3,2013,0,0,18203.304,21034.948571428573,21276.590285714286,22332.50473333333
2013-03-26,11090.212,2756.0,95.99,0,0.0,1,3,2013,0,0,15874.449,20351.486142857146,20943.596571428574,21685.333033333332
2013-03-27,20180.981,4160.0,96.53,0,0.0,2,3,2013,0,0,19657.66,20426.24628571429,20984.441357142856,21707.662766666668
2013-03-28,17541.689,4090.0,97.24,0,0.0,3,3,2013,0,0,14880.334,20806.439857142857,21300.290785714285,21799.56986666667
2013-03-29,21393.413,3905.0,97.24,0,0.0,4,3,2013,0,0,18411.198,21232.47057142857,21499.134571428574,21970.991666666665
2013-03-30,25750.003,4178.0,97.24,0,0.0,5,3,2013,1,0,31889.787,20355.358571428573,21164.057785714285,22334.074433333335
2013-03-31,27281.635,4259.0,97.24,0,0.0,6,3,2013,1,1,29504.925,20037.745714285713,20620.419785714283,22501.123066666663
2013-04-01,23812.062,3812.0,97.1,0,1.0,0,4,2013,0,0,17026.287,21007.14214285714,21021.04535714286,22201.563266666668
