date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,BREAD/BAKERY,675.686,3509.0,97.65,0,0.0,3,1,2013,0,1,652.887,976.161142857143,983.8378571428572,1025.1588666666667
2013-02-01,BREAD/BAKERY,1058.87,4064.0,97.46,0,0.0,4,2,2013,0,0,907.033,997.8521428571429,999.5374285714286,1010.7240999999999
2013-02-02,BREAD/BAKERY,1447.402,5166.0,97.46,0,0.0,5,2,2013,1,0,1302.634,1018.5332857142857,1001.7842857142857,1030.2703666666666
2013-02-03,BREAD/BAKERY,1476.066,4736.0,97.46,0,0.0,6,2,2013,1,0,1606.752,999.8638571428571,985.8747857142856,1044.8868333333332
2013-02-04,BREAD/BAKERY,879.324,3459.0,96.21,0,0.0,0,2,2013,0,0,841.827,1005.2205714285714,990.9295,1024.3123
2013-02-05,BREAD/BAKERY,754.329,3568.0,96.68,0,0.0,1,2,2013,0,0,750.577,1005.7565714285714,991.7694285714285,992.6394333333334
2013-02-06,BREAD/BAKERY,961.333,3941.0,96.44,0,0.0,2,2,2013,0,0,748.619,1036.1442857142858,1004.5242142857143,992.348
2013-02-07,BREAD/BAKERY,786.846,3678.0,95.84,0,0.0,3,2,2013,0,0,675.686,1052.0242857142857,1014.0927142857142,992.2663333333334
2013-02-08,BREAD/BAKERY,893.03,4006.0,95.71,0,0.0,4,2,2013,0,0,1058.87,1028.3328571428572,1013.0925,991.4828666666667
2013-02-09,BREAD/BAKERY,977.487,4133.0,95.71,0,0.0,5,2,2013,1,0,1447.402,961.2021428571428,989.8677142857142,1001.8693000000001
2013-02-10,BREAD/BAKERY,786.106,3135.0,95.71,0,0.0,6,2,2013,1,0,1476.066,862.6364285714286,931.2501428571428,999.9588
2013-02-11,BREAD/BAKERY,769.35,3243.0,97.01,0,1.0,0,2,2013,0,0,879.324,846.9258571428571,926.0732142857142,984.0241333333332
2013-02-12,BREAD/BAKERY,1032.0430000000001,3904.0,97.48,0,1.0,1,2,2013,0,0,754.329,886.5992857142857,946.1779285714287,968.1799333333333
2013-02-13,BREAD/BAKERY,909.071,3860.0,97.03,0,0.0,2,2,2013,0,0,961.333,879.1332857142858,957.6387857142857,968.6571666666666
2013-02-14,BREAD/BAKERY,694.827,4043.0,97.3,0,0.0,3,2,2013,0,0,786.846,865.9877142857142,959.0060000000001,967.2254666666666
2013-02-15,BREAD/BAKERY,828.317,3605.0,95.95,0,0.0,4,2,2013,0,1,893.03,856.743,942.5379285714286,960.131
2013-02-16,BREAD/BAKERY,1579.7069999999999,4770.0,95.95,0,0.0,5,2,2013,1,0,977.487,942.7744285714286,951.9882857142857,986.9279333333333
2013-02-17,BREAD/BAKERY,1334.123,3936.0,95.95,0,0.0,6,2,2013,1,0,786.106,1021.0625714285715,941.8495,1003.4295
2013-02-18,BREAD/BAKERY,1024.976,3586.0,95.95,0,0.0,0,2,2013,0,0,769.35,1057.5805714285714,952.2532142857143,990.3971666666667
2013-02-19,BREAD/BAKERY,700.0,3228.0,96.69,0,0.0,1,2,2013,0,0,1032.0430000000001,1010.1458571428573,948.3725714285714,957.1038666666667
2013-02-20,BREAD/BAKERY,989.2909999999999,3800.0,94.92,0,0.0,2,2,2013,0,0,909.071,1021.6058571428572,950.3695714285715,963.1283
2013-02-21,BREAD/BAKERY,705.26,3282.0,92.79,0,0.0,3,2,2013,0,0,694.827,1023.0962857142857,944.542,961.8846333333333
2013-02-22,BREAD/BAKERY,898.596,3638.0,93.12,0,0.0,4,2,2013,0,0,828.317,1033.1361428571429,944.9395714285714,965.7456333333333
2013-02-23,BREAD/BAKERY,1342.0,4461.0,93.12,0,0.0,5,2,2013,1,0,1579.7069999999999,999.1779999999999,970.9762142857144,988.7160666666666
2013-02-24,BREAD/BAKERY,1620.87,4517.0,93.12,0,0.0,6,2,2013,1,0,1334.123,1040.1418571428571,1030.6022142857144,1012.5106333333334
2013-02-25,BREAD/BAKERY,802.702,3515.0,92.74,0,0.0,0,2,2013,0,0,1024.976,1008.3884285714284,1032.9845,995.8462333333333
2013-02-26,BREAD/BAKERY,670.3050000000001,3310.0,92.63,0,0.0,1,2,2013,0,0,700.0,1004.1462857142857,1007.1460714285715,964.6313333333333
2013-02-27,BREAD/BAKERY,801.1510000000001,3595.0,92.84,0,0.0,2,2,2013,0,0,989.2909999999999,977.2691428571428,999.4375,963.2754666666666
2013-02-28,BREAD/BAKERY,899.376,3426.0,92.03,0,0.0,3,2,2013,0,1,705.26,1005.0,1014.0481428571428,968.2354333333334
2013-03-01,BREAD/BAKERY,943.537,4075.0,90.71,0,0.0,4,3,2013,0,0,898.596,1011.420142857143,1022.2781428571428,974.7327
2013-03-02,BREAD/BAKERY,1460.392,4891.0,90.71,0,1.0,5,3,2013,1,0,1342.0,1028.3332857142857,1013.755642857143,1000.8895666666667
2013-03-03,BREAD/BAKERY,1861.496,5065.0,90.71,0,0.0,6,3,2013,1,0,1620.87,1062.7084285714286,1051.4251428571429,1027.6437666666668
2013-03-04,BREAD/BAKERY,1003.21,3823.0,90.13,0,0.0,0,3,2013,0,0,802.702,1091.3524285714286,1049.8704285714286,1012.8373666666666
2013-03-05,BREAD/BAKERY,800.667,3582.0,90.88,0,0.0,1,3,2013,0,0,670.3050000000001,1109.9755714285716,1057.0609285714286,990.3240666666667
2013-03-06,BREAD/BAKERY,999.766,4105.0,90.47,0,0.0,2,3,2013,0,0,801.1510000000001,1138.3491428571429,1057.809142857143,994.3388
2013-03-07,BREAD/BAKERY,808.3050000000001,3551.0,91.53,0,0.0,3,3,2013,0,0,899.376,1125.3390000000002,1065.1695,996.138
2013-03-08,BREAD/BAKERY,877.444,3998.0,92.01,0,0.0,4,3,2013,0,0,943.537,1115.8971428571429,1063.658642857143,993.3417000000001
2013-03-09,BREAD/BAKERY,1469.501,4846.0,92.01,0,0.0,5,3,2013,1,0,1460.392,1117.1984285714286,1072.7658571428572,1016.0968666666666
2013-03-10,BREAD/BAKERY,1622.856,4756.0,92.01,0,0.0,6,3,2013,1,0,1861.496,1083.107,1072.9077142857143,1040.4244
2013-03-11,BREAD/BAKERY,914.813,3626.0,92.07,0,0.0,0,3,2013,0,0,1003.21,1070.4788571428571,1080.9156428571428,1038.3352666666667
2013-03-12,BREAD/BAKERY,732.236,3376.0,92.44,0,0.0,1,3,2013,0,0,800.667,1060.703,1085.3392857142858,1036.5395999999998
2013-03-13,BREAD/BAKERY,979.104,3799.0,92.47,0,0.0,2,3,2013,0,0,999.766,1057.7512857142858,1098.0502142857142,1043.5314
2013-03-14,BREAD/BAKERY,673.622,3276.0,93.03,0,0.0,3,3,2013,0,0,808.3050000000001,1038.510857142857,1081.9249285714286,1031.5840333333333
2013-03-15,BREAD/BAKERY,973.879,3732.0,93.49,0,0.0,4,3,2013,0,1,877.444,1052.2872857142859,1084.0922142857144,1033.7442999999998
2013-03-16,BREAD/BAKERY,1464.225,4786.0,93.49,0,0.0,5,3,2013,1,0,1469.501,1051.5335714285713,1084.3660000000002,1059.3909
2013-03-17,BREAD/BAKERY,1983.974,5037.0,93.49,0,0.0,6,3,2013,1,0,1622.856,1103.1218571428572,1093.1144285714286,1097.9127999999998
2013-03-18,BREAD/BAKERY,886.754,3556.0,93.71,0,0.0,0,3,2013,0,0,914.813,1099.1134285714286,1084.796142857143,1074.8143666666667
2013-03-19,BREAD/BAKERY,752.1179999999999,3431.0,92.44,0,0.0,1,3,2013,0,0,732.236,1101.9537142857143,1081.3283571428572,1055.4142
2013-03-20,BREAD/BAKERY,933.028,3806.0,93.21,0,0.0,2,3,2013,0,0,979.104,1095.3714285714284,1076.561357142857,1052.3492666666666
2013-03-21,BREAD/BAKERY,702.293,3375.0,92.46,0,0.0,3,3,2013,0,0,673.622,1099.4672857142857,1068.9890714285714,1052.4257
2013-03-22,BREAD/BAKERY,893.572,3826.0,93.41,0,0.0,4,3,2013,0,0,973.879,1087.9948571428572,1070.1410714285714,1049.2350666666666
2013-03-23,BREAD/BAKERY,1375.565,4972.0,93.41,0,0.0,5,3,2013,1,0,1464.225,1075.3291428571429,1063.4313571428572,1071.5785666666666
2013-03-24,BREAD/BAKERY,1541.461,4485.0,93.41,0,0.0,6,3,2013,1,0,1983.974,1012.113,1057.6174285714285,1093.0074
2013-03-25,BREAD/BAKERY,806.506,3533.0,94.55,0,0.0,0,3,2013,0,0,886.754,1000.649,1049.8812142857143,1075.1576
2013-03-26,BREAD/BAKERY,475.527,2756.0,95.99,0,0.0,1,3,2013,0,0,752.1179999999999,961.1359999999999,1031.5448571428572,1036.9795
2013-03-27,BREAD/BAKERY,976.095,4160.0,96.53,0,0.0,2,3,2013,0,0,933.028,967.2884285714287,1031.3299285714286,1042.7592666666667
2013-03-28,BREAD/BAKERY,792.998,4090.0,97.24,0,0.0,3,3,2013,0,0,702.293,980.2462857142857,1039.8567857142857,1046.8490333333334
2013-03-29,BREAD/BAKERY,888.135,3905.0,97.24,0,0.0,4,3,2013,0,0,893.572,979.4695714285714,1033.7322142857142,1049.7485
2013-03-30,BREAD/BAKERY,1228.518,4178.0,97.24,0,0.0,5,3,2013,1,0,1375.565,958.4628571428572,1016.896,1060.7198999999998
2013-03-31,BREAD/BAKERY,1433.326,4259.0,97.24,0,0.0,6,3,2013,1,1,1541.461,943.015,977.564,1077.0462
2013-04-01,BREAD/BAKERY,1096.65,3812.0,97.1,0,1.0,0,4,2013,0,0,806.506,984.464142857143,992.5565714285714,1064.9214666666667
2013-04-02,BREAD/BAKERY,878.227,3610.0,97.23,0,0.0,1,4,2013,0,0,475.527,1041.9927142857143,1001.5643571428571,1032.1458333333333
2013-04-03,BREAD/BAKERY,1054.631,4212.0,95.02,0,0.0,2,4,2013,0,0,976.095,1053.212142857143,1010.2502857142856,1033.8598666666667
2013-04-04,BREAD/BAKERY,848.201,3457.0,93.26,0,0.0,3,4,2013,0,0,792.998,1061.0982857142858,1020.6722857142857,1035.4443333333334
2013-04-05,BREAD/BAKERY,908.785,3816.0,92.76,0,0.0,4,4,2013,0,0,888.135,1064.0482857142858,1021.7589285714286,1032.4116333333334
2013-04-06,BREAD/BAKERY,1528.0140000000001,5047.0,92.76,0,0.0,5,4,2013,1,0,1228.518,1106.8334285714286,1032.6481428571428,1056.4019333333333
2013-04-07,BREAD/BAKERY,1945.6779999999999,4857.0,92.76,0,0.0,6,4,2013,1,0,1433.326,1180.0265714285713,1061.5207857142857,1092.0097333333333
2013-04-08,BREAD/BAKERY,925.452,3595.0,93.36,0,0.0,0,4,2013,0,0,1096.65,1155.569714285714,1070.0169285714287,1073.8747666666666
2013-04-09,BREAD/BAKERY,718.4110000000001,3417.0,94.18,0,0.0,1,4,2013,0,0,878.227,1132.7388571428571,1087.3657857142857,1043.7266
2013-04-10,BREAD/BAKERY,901.605,4008.0,94.59,0,0.0,2,4,2013,0,0,1054.631,1110.878,1082.0450714285714,1043.2863333333332
2013-04-11,BREAD/BAKERY,675.404,3489.0,93.44,0,0.0,3,4,2013,0,0,848.201,1086.1927142857141,1073.6455,1041.3919333333333
2013-04-12,BREAD/BAKERY,834.007,3928.0,91.23,0,1.0,4,4,2013,0,0,908.785,1075.510142857143,1069.7792142857143,1036.5553666666667
2013-04-13,BREAD/BAKERY,1329.132,4843.0,91.23,0,0.0,5,4,2013,1,0,1528.0140000000001,1047.0984285714287,1076.9659285714285,1058.4057
2013-04-14,BREAD/BAKERY,1667.007,4745.0,91.23,0,1.0,6,4,2013,1,0,1945.6779999999999,1007.2882857142857,1093.6574285714285,1081.5099666666667
2013-04-15,BREAD/BAKERY,813.364,3499.0,88.75,0,0.0,0,4,2013,0,1,925.452,991.2757142857143,1073.4227142857144,1059.8146
2013-04-16,BREAD/BAKERY,867.863,3496.0,88.73,0,0.0,1,4,2013,0,0,718.4110000000001,1012.6260000000001,1072.6824285714285,1022.6109
2013-04-17,BREAD/BAKERY,1028.544,3954.0,86.65,0,0.0,2,4,2013,0,0,901.605,1030.760142857143,1070.8190714285715,1027.3372333333332
2013-04-18,BREAD/BAKERY,795.891,3316.0,87.83,0,0.0,3,4,2013,0,0,675.404,1047.9725714285714,1067.082642857143,1028.7963333333335
2013-04-19,BREAD/BAKERY,886.0070000000001,3558.0,88.04,0,0.0,4,4,2013,0,0,834.007,1055.4011428571428,1065.4556428571427,1027.2289666666666
