date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,CLEANING,1666.0,3509.0,97.65,0,0.0,3,1,2013,0,1,1359.0,2233.285714285714,2482.8571428571427,2638.1
2013-02-01,CLEANING,2619.0,4064.0,97.46,0,0.0,4,2,2013,0,0,1874.0,2339.714285714286,2528.0,2601.0333333333333
2013-02-02,CLEANING,3663.0,5166.0,97.46,0,0.0,5,2,2013,1,0,2831.0,2458.5714285714284,2567.8571428571427,2638.733333333333
2013-02-03,CLEANING,3775.0,4736.0,97.46,0,0.0,6,2,2013,1,0,3424.0,2508.714285714286,2599.5,2664.0
2013-02-04,CLEANING,2135.0,3459.0,96.21,0,0.0,0,2,2013,0,0,1679.0,2573.8571428571427,2612.785714285714,2606.7
2013-02-05,CLEANING,2265.0,3568.0,96.68,0,0.0,1,2,2013,0,0,1955.0,2618.1428571428573,2397.4285714285716,2545.5666666666666
2013-02-06,CLEANING,2482.0,3941.0,96.44,0,0.0,2,2,2013,0,0,2204.0,2657.8571428571427,2423.6428571428573,2538.6666666666665
2013-02-07,CLEANING,2162.0,3678.0,95.84,0,0.0,3,2,2013,0,0,1666.0,2728.714285714286,2481.0,2526.7
2013-02-08,CLEANING,2178.0,4006.0,95.71,0,0.0,4,2,2013,0,0,2619.0,2665.714285714286,2502.714285714286,2503.0
2013-02-09,CLEANING,2541.0,4133.0,95.71,0,0.0,5,2,2013,1,0,3663.0,2505.4285714285716,2482.0,2522.5333333333333
2013-02-10,CLEANING,1840.0,3135.0,95.71,0,0.0,6,2,2013,1,0,3775.0,2229.0,2368.8571428571427,2510.233333333333
2013-02-11,CLEANING,1965.0,3243.0,97.01,0,1.0,0,2,2013,0,0,2135.0,2204.714285714286,2389.285714285714,2480.4666666666667
2013-02-12,CLEANING,2551.0,3904.0,97.48,0,1.0,1,2,2013,0,0,2265.0,2245.5714285714284,2431.8571428571427,2449.1666666666665
2013-02-13,CLEANING,2196.0,3860.0,97.03,0,0.0,2,2,2013,0,0,2482.0,2204.714285714286,2431.285714285714,2453.633333333333
2013-02-14,CLEANING,1688.0,4043.0,97.3,0,0.0,3,2,2013,0,0,2162.0,2137.0,2432.8571428571427,2447.1
2013-02-15,CLEANING,2194.0,3605.0,95.95,0,0.0,4,2,2013,0,1,2178.0,2139.285714285714,2402.5,2430.8
2013-02-16,CLEANING,3461.0,4770.0,95.95,0,0.0,5,2,2013,1,0,2541.0,2270.714285714286,2388.0714285714284,2482.5
2013-02-17,CLEANING,2643.0,3936.0,95.95,0,0.0,6,2,2013,1,0,1840.0,2385.4285714285716,2307.214285714286,2504.366666666667
2013-02-18,CLEANING,2424.0,3586.0,95.95,0,0.0,0,2,2013,0,0,1965.0,2451.0,2327.8571428571427,2481.6666666666665
2013-02-19,CLEANING,1662.0,3228.0,96.69,0,0.0,1,2,2013,0,0,2551.0,2324.0,2284.785714285714,2426.0
2013-02-20,CLEANING,2232.0,3800.0,94.92,0,0.0,2,2,2013,0,0,2196.0,2329.1428571428573,2266.9285714285716,2435.4333333333334
2013-02-21,CLEANING,1656.0,3282.0,92.79,0,0.0,3,2,2013,0,0,1688.0,2324.5714285714284,2230.785714285714,2314.633333333333
2013-02-22,CLEANING,1856.0,3638.0,93.12,0,0.0,4,2,2013,0,0,2194.0,2276.285714285714,2207.785714285714,2306.0
2013-02-23,CLEANING,2804.0,4461.0,93.12,0,0.0,5,2,2013,1,0,3461.0,2182.4285714285716,2226.5714285714284,2354.1666666666665
2013-02-24,CLEANING,3064.0,4517.0,93.12,0,0.0,6,2,2013,1,0,2643.0,2242.5714285714284,2314.0,2393.8333333333335
2013-02-25,CLEANING,4494.0,3515.0,92.74,0,0.0,0,2,2013,0,0,2424.0,2538.285714285714,2494.6428571428573,2449.266666666667
