date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,FROZEN FOODS,257.98199999999997,3509.0,97.65,0,0.0,3,1,2013,0,1,180.37,362.755,351.81885714285715,392.032
2013-02-01,FROZEN FOODS,311.519,4064.0,97.46,0,0.0,4,2,2013,0,0,317.51,361.89914285714286,351.9337142857143,376.45916666666665
2013-02-02,FROZEN FOODS,598.386,5166.0,97.46,0,0.0,5,2,2013,1,0,459.108,381.796,361.7855714285714,383.5806666666667
2013-02-03,FROZEN FOODS,610.359,4736.0,97.46,0,0.0,6,2,2013,1,0,559.116,389.11642857142857,365.70471428571426,391.00766666666664
2013-02-04,FROZEN FOODS,310.0,3459.0,96.21,0,0.0,0,2,2013,0,0,311.449,388.9094285714286,364.0161428571429,382.5310666666667
2013-02-05,FROZEN FOODS,312.061,3568.0,96.68,0,0.0,1,2,2013,0,0,284.18,392.8924285714285,368.41685714285717,369.9746333333333
2013-02-06,FROZEN FOODS,368.837,3941.0,96.44,0,0.0,2,2,2013,0,0,349.94,395.592,373.6297857142857,371.31419999999997
2013-02-07,FROZEN FOODS,252.309,3678.0,95.84,0,0.0,3,2,2013,0,0,257.98199999999997,394.78157142857145,378.7682857142857,367.23583333333335
2013-02-08,FROZEN FOODS,309.869,4006.0,95.71,0,0.0,4,2,2013,0,0,311.519,394.54585714285713,378.22249999999997,365.97276666666664
2013-02-09,FROZEN FOODS,334.211,4133.0,95.71,0,0.0,5,2,2013,1,0,598.386,356.80657142857143,369.3012857142857,369.90246666666667
2013-02-10,FROZEN FOODS,251.141,3135.0,95.71,0,0.0,6,2,2013,1,0,610.359,305.4897142857143,347.30307142857146,367.15386666666666
2013-02-11,FROZEN FOODS,285.534,3243.0,97.01,0,1.0,0,2,2013,0,0,310.0,301.9945714285714,345.45199999999994,360.7366333333333
2013-02-12,FROZEN FOODS,421.339,3904.0,97.48,0,1.0,1,2,2013,0,0,312.061,317.60571428571427,355.2490714285714,355.3671
2013-02-13,FROZEN FOODS,282.0,3860.0,97.03,0,0.0,2,2,2013,0,0,368.837,305.2004285714285,350.3962142857143,351.7910333333333
2013-02-14,FROZEN FOODS,272.217,4043.0,97.3,0,0.0,3,2,2013,0,0,252.309,308.04442857142857,351.413,350.39113333333336
2013-02-15,FROZEN FOODS,278.605,3605.0,95.95,0,0.0,4,2,2013,0,1,309.869,303.57814285714284,349.06199999999995,346.4625666666667
2013-02-16,FROZEN FOODS,574.194,4770.0,95.95,0,0.0,5,2,2013,1,0,334.211,337.8614285714285,347.33399999999995,356.6015
2013-02-17,FROZEN FOODS,499.443,3936.0,95.95,0,0.0,6,2,2013,1,0,251.141,373.33314285714283,339.41142857142853,362.91923333333335
2013-02-18,FROZEN FOODS,340.586,3586.0,95.95,0,0.0,0,2,2013,0,0,285.534,381.1977142857143,341.5961428571428,358.9234333333333
2013-02-19,FROZEN FOODS,280.0,3228.0,96.69,0,0.0,1,2,2013,0,0,421.339,361.00642857142856,339.30607142857144,349.74039999999997
2013-02-20,FROZEN FOODS,334.245,3800.0,94.92,0,0.0,2,2,2013,0,0,282.0,368.46999999999997,336.8352142857143,349.7605666666667
2013-02-21,FROZEN FOODS,177.0,3282.0,92.79,0,0.0,3,2,2013,0,0,272.217,354.8675714285714,331.456,347.3122
2013-02-22,FROZEN FOODS,209.642,3638.0,93.12,0,0.0,4,2,2013,0,0,278.605,345.01571428571424,324.2969285714285,344.4384
2013-02-23,FROZEN FOODS,449.303,4461.0,93.12,0,0.0,5,2,2013,1,0,574.194,327.17414285714284,332.5177857142857,353.4028333333334
2013-02-24,FROZEN FOODS,559.584,4517.0,93.12,0,0.0,6,2,2013,1,0,499.443,335.76571428571424,354.5494285714285,361.4719666666667
2013-02-25,FROZEN FOODS,272.666,3515.0,92.74,0,0.0,0,2,2013,0,0,340.586,326.0628571428571,353.63028571428566,355.2572333333334
2013-02-26,FROZEN FOODS,260.0,3310.0,92.63,0,0.0,1,2,2013,0,0,280.0,323.2057142857143,342.1060714285714,345.2867
2013-02-27,FROZEN FOODS,296.508,3595.0,92.84,0,0.0,2,2,2013,0,0,334.245,317.8147142857143,343.1423571428572,344.78866666666664
2013-02-28,FROZEN FOODS,175.0,3426.0,92.03,0,0.0,3,2,2013,0,1,177.0,317.529,336.1982857142857,341.14933333333335
2013-03-01,FROZEN FOODS,463.621,4075.0,90.71,0,0.0,4,3,2013,0,0,209.642,353.81171428571423,349.41371428571426,344.9387
2013-03-02,FROZEN FOODS,564.46,4891.0,90.71,0,1.0,5,3,2013,1,0,449.303,370.26271428571425,348.71842857142855,355.1546333333334
