date,family,unit_sales,transactions,dcoilwtico,onpromotion,is_holiday,dayofweek,month,year,is_weekend,is_payday,sales_lag_7,sales_rolling_mean_7,sales_rolling_mean_14,sales_rolling_mean_30
2013-01-31,GROCERY I,4268.0,3509.0,97.65,0,0.0,3,1,2013,0,1,4007.0,6346.285714285715,7543.642857142857,8063.666666666667
2013-02-01,GROCERY I,7265.0,4064.0,97.46,0,0.0,4,2,2013,0,0,5895.0,6542.0,7634.0,7949.633333333333
2013-02-02,GROCERY I,11068.0,5166.0,97.46,0,0.0,5,2,2013,1,0,8709.0,6879.0,7736.857142857143,8073.833333333333
2013-02-03,GROCERY I,11125.0,4736.0,97.46,0,0.0,6,2,2013,1,0,9667.0,7087.285714285715,7782.357142857143,8203.0
2013-02-04,GROCERY I,6202.0,3459.0,96.21,0,0.0,0,2,2013,0,0,5471.0,7191.714285714285,7801.642857142857,8053.1
2013-02-05,GROCERY I,5903.0,3568.0,96.68,0,0.0,1,2,2013,0,0,4745.0,7357.142857142857,6847.357142857143,7837.433333333333
2013-02-06,GROCERY I,7160.0,3941.0,96.44,0,0.0,2,2,2013,0,0,5669.0,7570.142857142857,6939.571428571428,7840.8
2013-02-07,GROCERY I,5444.0,3678.0,95.84,0,0.0,3,2,2013,0,0,4268.0,7738.142857142857,7042.214285714285,7360.633333333333
2013-02-08,GROCERY I,5826.0,4006.0,95.71,0,0.0,4,2,2013,0,0,7265.0,7532.571428571428,7037.285714285715,7303.3
2013-02-09,GROCERY I,7683.0,4133.0,95.71,0,0.0,5,2,2013,1,0,11068.0,7049.0,6964.0,7389.366666666667
2013-02-10,GROCERY I,5655.0,3135.0,95.71,0,0.0,6,2,2013,1,0,11125.0,6267.571428571428,6677.428571428572,7378.1
2013-02-11,GROCERY I,5790.0,3243.0,97.01,0,1.0,0,2,2013,0,0,6202.0,6208.714285714285,6700.214285714285,7294.633333333333
2013-02-12,GROCERY I,7601.0,3904.0,97.48,0,1.0,1,2,2013,0,0,5903.0,6451.285714285715,6904.214285714285,7197.333333333333
2013-02-13,GROCERY I,6542.0,3860.0,97.03,0,0.0,2,2,2013,0,0,7160.0,6363.0,6966.571428571428,7223.533333333334
2013-02-14,GROCERY I,26067.0,4043.0,97.3,0,0.0,3,2,2013,0,0,5444.0,9309.142857142857,8523.642857142857,7922.566666666667
2013-02-15,GROCERY I,6214.0,3605.0,95.95,0,0.0,4,2,2013,0,1,5826.0,9364.57142857143,8448.57142857143,7871.8
2013-02-16,GROCERY I,11506.0,4770.0,95.95,0,0.0,5,2,2013,1,0,7683.0,9910.714285714286,8479.857142857143,8088.733333333334
2013-02-17,GROCERY I,8425.0,3936.0,95.95,0,0.0,6,2,2013,1,0,5655.0,10306.42857142857,8287.0,8169.566666666667
2013-02-18,GROCERY I,7093.0,3586.0,95.95,0,0.0,0,2,2013,0,0,5790.0,10492.57142857143,8350.642857142857,8085.066666666667
2013-02-19,GROCERY I,5314.0,3228.0,96.69,0,0.0,1,2,2013,0,0,7601.0,10165.857142857143,8308.57142857143,7912.6
2013-02-20,GROCERY I,7122.0,3800.0,94.92,0,0.0,2,2,2013,0,0,6542.0,10248.714285714286,8305.857142857143,7952.266666666666
2013-02-21,GROCERY I,4636.0,3282.0,92.79,0,0.0,3,2,2013,0,0,26067.0,7187.142857142857,8248.142857142857,7464.7
2013-02-22,GROCERY I,5254.0,3638.0,93.12,0,0.0,4,2,2013,0,0,6214.0,7050.0,8207.285714285714,7444.2
2013-02-23,GROCERY I,8624.0,4461.0,93.12,0,0.0,5,2,2013,1,0,11506.0,6638.285714285715,8274.5,7598.1
2013-02-24,GROCERY I,10671.0,4517.0,93.12,0,0.0,6,2,2013,1,0,8425.0,6959.142857142857,8632.785714285714,7757.3
